nombre_ponente,partido
Ángel Benjamín Robles Montoya,PT
Hamlet García Almaguer,MORENA
Iran Santiago Manuel,MORENA
Armando Antonio Gómez Betancourt,PVEM
Judith Celina Tanori Córdova,MORENA
Lidia Pérez Bárcenas,MORENA
Rafael Hernández Villalpando,MORENA
Gabriel Ricardo Quadri de la Torre,PAN
Joanna Alejandra Felipe Torres,PAN
Susana Prieto Terrazas,MORENA
Luis Ángel Xariel Espinosa Cházaro,PRD
José Gerardo Rodolfo Fernández Noroña,PT
Manuel Jesús Herrera Vega,PVEM
Luis Alberto Martínez Bravo,PVEM
Moisés Ignacio Mier Velazco,MORENA
Rubén Ignacio Moreira Valdez,PRI
Mauricio Prieto Gómez,PRD
Jorge Triana Tena,PAN
José Mauro Garza Marín,MC
Carlos Alberto Puente Salas,PVEM
Ignacio Loyola Vera,PAN
Aleida Alavez Ruiz,MORENA
Héctor Ireneo Mares Cossío,MORENA
Santiago Torreblanca Engell,PAN
Yeidckol Polevnsky Gurwitz,MORENA
Elizabeth Pérez Valdez,PRD
Magdalena del Socorro Núñez Monreal,PT
Leonel Godoy Rangel,MORENA
Mario Alberto Rodríguez Carrillo,MC
Juan Ramiro Robledo Ruiz,MORENA
Edna Gisel Díaz Acevedo,PRD
Reynel Rodríguez Muñoz,PRI
Claudia Selene Ávila Flores,MORENA
Héctor Israel Castillo Olivares,PAN
Eduardo Murat Hinojosa,PRI
Pedro Armentía López,PRI
Blanca María del Socorro Alcalá Ruiz,PRI
Juan Carlos Natale López,PVEM
José Elías Lixa Abimerhi,PAN
Marcelino Castañeda Navarrete,PRD
Melissa Estefanía Vargas Camacho,PRI
Cuauhtémoc Ochoa Fernández,MORENA
Karen Castrejón Trujillo,PVEM
Roberto Carlos López García,PRI
Mario Miguel Carrillo Cubillas,MORENA
Irma Juan Carlos,MORENA
César Garza Villarreal,PRI
Felipe Rafael Arvizu de la Luz,MORENA
Carlos Iriarte Mercado,PRI
Alfredo Ramírez Bedolla,MORENA
Rubén Rocha Moya,MORENA
Carlos Manuel Merino Campos,MORENA
Lorena Cuéllar Cisneros,MORENA
Omar Fayad Meneses,PRI
